id,Date,Fire Details,TFS,Location,Civilian Impact,Sprinkler Systems,Smoke Alarms,Fire Alarms,Damages
1695412,2018-10-02,fr1695412,F18105864,loc1695412,ci1695412,sp1695412,sa1695412,fa1695412,d1695412
1695413,2018-10-02,fr1695413,F18105899,loc1695413,ci1695413,sp1695413,sa1695413,fa1695413,d1695413
1695414,2021-07-10,fr1695414,F21068268,loc1695414,ci1695414,sp1695414,sa1695414,fa1695414,d1695414
1695415,2018-10-05,fr1695415,F18107047,loc1695415,ci1695415,sp1695415,sa1695415,fa1695415,d1695415
1695416,2018-10-05,fr1695416,F18107072,loc1695416,ci1695416,sp1695416,sa1695416,fa1695416,d1695416
1695417,2018-10-05,fr1695417,F18107142,loc1695417,ci1695417,sp1695417,sa1695417,fa1695417,d1695417
1695418,2018-10-05,fr1695418,F18107162,loc1695418,ci1695418,sp1695418,sa1695418,fa1695418,d1695418
1695419,2018-10-05,fr1695419,F18107224,loc1695419,ci1695419,sp1695419,sa1695419,fa1695419,d1695419
1695420,2018-10-05,fr1695420,F18107278,loc1695420,ci1695420,sp1695420,sa1695420,fa1695420,d1695420
1695421,2018-10-05,fr1695421,F18107310,loc1695421,ci1695421,sp1695421,sa1695421,fa1695421,d1695421
1695422,2018-10-06,fr1695422,F18107410,loc1695422,ci1695422,sp1695422,sa1695422,fa1695422,d1695422
1695423,2018-10-06,fr1695423,F18107420,loc1695423,ci1695423,sp1695423,sa1695423,fa1695423,d1695423
1695424,2018-10-07,fr1695424,F18107877,loc1695424,ci1695424,sp1695424,sa1695424,fa1695424,d1695424
1695425,2018-10-10,fr1695425,F18109125,loc1695425,ci1695425,sp1695425,sa1695425,fa1695425,d1695425
1695426,2018-10-10,fr1695426,F18109183,loc1695426,ci1695426,sp1695426,sa1695426,fa1695426,d1695426
1695427,2018-10-09,fr1695427,F18108792,loc1695427,ci1695427,sp1695427,sa1695427,fa1695427,d1695427
1695428,2018-10-10,fr1695428,F18108860,loc1695428,ci1695428,sp1695428,sa1695428,fa1695428,d1695428
1695429,2018-10-10,fr1695429,F18109020,loc1695429,ci1695429,sp1695429,sa1695429,fa1695429,d1695429
1695430,2018-10-10,fr1695430,F18109117,loc1695430,ci1695430,sp1695430,sa1695430,fa1695430,d1695430
1695431,2018-10-10,fr1695431,F18109120,loc1695431,ci1695431,sp1695431,sa1695431,fa1695431,d1695431
1695432,2018-10-11,fr1695432,F18109382,loc1695432,ci1695432,sp1695432,sa1695432,fa1695432,d1695432
1695433,2018-10-11,fr1695433,F18109443,loc1695433,ci1695433,sp1695433,sa1695433,fa1695433,d1695433
1695434,2018-10-11,fr1695434,F18109552,loc1695434,ci1695434,sp1695434,sa1695434,fa1695434,d1695434
1695435,2018-10-11,fr1695435,F18109504,loc1695435,ci1695435,sp1695435,sa1695435,fa1695435,d1695435
1695436,2018-10-11,fr1695436,F18109528,loc1695436,ci1695436,sp1695436,sa1695436,fa1695436,d1695436
1695437,2018-10-11,fr1695437,F18109535,loc1695437,ci1695437,sp1695437,sa1695437,fa1695437,d1695437
1695438,2018-10-11,fr1695438,F18109572,loc1695438,ci1695438,sp1695438,sa1695438,fa1695438,d1695438
1695439,2018-10-11,fr1695439,F18109573,loc1695439,ci1695439,sp1695439,sa1695439,fa1695439,d1695439
1695440,2018-10-11,fr1695440,F18109598,loc1695440,ci1695440,sp1695440,sa1695440,fa1695440,d1695440
1695441,2018-10-14,fr1695441,F18110571,loc1695441,ci1695441,sp1695441,sa1695441,fa1695441,d1695441
1695442,2018-10-14,fr1695442,F18110580,loc1695442,ci1695442,sp1695442,sa1695442,fa1695442,d1695442
1695443,2018-10-14,fr1695443,F18110625,loc1695443,ci1695443,sp1695443,sa1695443,fa1695443,d1695443
1695444,2018-10-14,fr1695444,F18110660,loc1695444,ci1695444,sp1695444,sa1695444,fa1695444,d1695444
1695445,2018-10-14,fr1695445,F18110663,loc1695445,ci1695445,sp1695445,sa1695445,fa1695445,d1695445
1695446,2018-10-15,fr1695446,F18110773,loc1695446,ci1695446,sp1695446,sa1695446,fa1695446,d1695446
1695447,2018-10-15,fr1695447,F18111075,loc1695447,ci1695447,sp1695447,sa1695447,fa1695447,d1695447
1695448,2018-10-14,fr1695448,F18110687,loc1695448,ci1695448,sp1695448,sa1695448,fa1695448,d1695448
1695449,2018-10-14,fr1695449,F18110689,loc1695449,ci1695449,sp1695449,sa1695449,fa1695449,d1695449
1695450,2018-10-14,fr1695450,F18110735,loc1695450,ci1695450,sp1695450,sa1695450,fa1695450,d1695450
1695451,2021-07-05,fr1695451,F21066219,loc1695451,ci1695451,sp1695451,sa1695451,fa1695451,d1695451
1695452,2021-07-05,fr1695452,F21066241,loc1695452,ci1695452,sp1695452,sa1695452,fa1695452,d1695452
1695453,2021-08-16,fr1695453,F21083395,loc1695453,ci1695453,sp1695453,sa1695453,fa1695453,d1695453
1695454,2018-10-18,fr1695454,F18112117,loc1695454,ci1695454,sp1695454,sa1695454,fa1695454,d1695454
1695455,2018-10-18,fr1695455,F18112152,loc1695455,ci1695455,sp1695455,sa1695455,fa1695455,d1695455
1695456,2018-10-18,fr1695456,F18112162,loc1695456,ci1695456,sp1695456,sa1695456,fa1695456,d1695456
1695457,2018-10-18,fr1695457,F18112179,loc1695457,ci1695457,sp1695457,sa1695457,fa1695457,d1695457
1695458,2018-10-18,fr1695458,F18112182,loc1695458,ci1695458,sp1695458,sa1695458,fa1695458,d1695458
1695459,2018-10-19,fr1695459,F18112208,loc1695459,ci1695459,sp1695459,sa1695459,fa1695459,d1695459
1695460,2018-10-19,fr1695460,F18112225,loc1695460,ci1695460,sp1695460,sa1695460,fa1695460,d1695460
1695461,2018-10-19,fr1695461,F18112230,loc1695461,ci1695461,sp1695461,sa1695461,fa1695461,d1695461
1695462,2018-10-19,fr1695462,F18112236,loc1695462,ci1695462,sp1695462,sa1695462,fa1695462,d1695462
1695463,2018-10-19,fr1695463,F18112239,loc1695463,ci1695463,sp1695463,sa1695463,fa1695463,d1695463
