id,area_of_origin,level_of_origin,exposures,extent_of_fire,final_incident_type,ignition_source,material_first_ignited,possible_cause,smoke_spread,Status_of_Fire_On_Arrival
fr1694756,79,001,3,10,1,71,55,45,10,7
fr1694757,,,,,3,,,,,
fr1694758,,,,,3,,,,,
fr1694759,,,,,3,,,,,
fr1694760,,,,,3,,,,,
fr1694761,,,,,3,,,,,
fr1694762,42,001,,2,1,17,14,20,3,4
fr1694763,24,009,,2,1,11,74,44,4,1
fr1694764,81,,,,1,82,99,12,,7
fr1694765,,,,,3,,,,,
fr1694766,,,,,3,,,,,
fr1694767,,,,,3,,,,,
fr1694768,55,001,,1,1,23,43,52,2,3
fr1694769,24,015,,1,1,12,54,49,4,2
fr1694770,44,011,,1,1,999,46,45,2,1
fr1694771,29,999,,1,1,24,43,52,99,1
fr1694772,24,004,,2,1,11,74,47,2,1
fr1694773,22,005,,1,1,71,21,46,2,1
fr1694774,24,012,,2,1,11,74,44,4,1
fr1694775,,,,,3,,,,,
fr1694776,,,,,3,,,,,
fr1694777,,,,,3,,,,,
fr1694778,46,001,,2,1,44,33,60,8,3
fr1694779,24,001,,1,1,12,97,51,99,2
fr1694780,24,001,,1,1,12,97,28,99,2
fr1694781,49,001,,2,1,999,56,99,4,1
fr1694782,21,001,,7,1,17,14,28,7,3
fr1694783,92,001,,3,1,999,40,99,4,3
fr1694784,42,001,,2,1,34,32,52,3,3
fr1694785,,,,,3,,,,,
fr1694786,,,,,3,,,,,
fr1694787,24,001,,3,1,999,99,99,7,3
fr1694788,27,B01,,2,1,43,58,20,4,2
fr1694789,83,,,,1,81,43,52,,3
fr1694790,81,,,,1,81,43,99,,7
fr1694791,81,,,,1,82,47,28,,7
fr1694792,55,B01,,2,1,20,43,52,10,2
fr1694793,24,001,,5,1,12,74,44,5,3
fr1694794,27,B01,,7,1,43,99,60,8,3
fr1694795,81,,,,1,82,47,98,,7
fr1694796,,,,,3,,,,,
fr1694797,,,,,3,,,,,
fr1694798,,,,,3,,,,,
fr1694799,21,001,,3,1,51,13,46,7,4
fr1694800,,,,,3,,,,,
fr1694801,,,,,3,,,,,
fr1694802,21,010,,1,1,55,48,46,5,2
fr1694803,,,,,3,,,,,
fr1694804,78,B01,,9,1,93,51,45,9,3
fr1694805,75,,,,1,999,46,45,,3
fr1694806,24,001,,2,1,77,56,1,7,2
fr1694807,,,,,3,,,,,
fr1694808,62,996,,1,1,108,11,52,9,3
fr1694809,,,,,3,,,,,
fr1694810,75,,,,1,71,46,47,,1
fr1694811,,,,,3,,,,,
fr1694812,27,B01,,2,1,24,43,52,7,1
fr1694813,,,,,3,,,,,
fr1694814,12,001,,2,1,55,14,46,6,2
fr1694815,,,,,3,,,,,
fr1694816,81,,,,1,81,99,52,,7
fr1694817,86,,,,1,999,99,52,,4
fr1694818,81,,,,1,82,47,98,,7
fr1694819,97,001,,1,1,999,97,1,8,3
fr1694820,24,001,,1,1,16,74,28,2,2
fr1694821,75,,,,1,999,46,3,,3
fr1694822,,,,,3,,,,,
