id,sp_operation,sp_presence
sp1695653,1,1
sp1695654,1,2
sp1695655,,
sp1695656,,
sp1695657,8,3
sp1695658,9,9
sp1695659,,
sp1695660,8,3
sp1695661,,
sp1695662,,
sp1695663,,
sp1695664,,
sp1695665,,
sp1695666,,
sp1695667,,
sp1695668,3,1
sp1695669,8,3
sp1695670,,
sp1695671,8,3
sp1695672,,
sp1695673,8,3
sp1695674,,
sp1695675,,
sp1695676,8,3
sp1695677,8,3
sp1695678,2,9
sp1695679,,
sp1695680,1,1
sp1695681,8,3
sp1695682,,
sp1695683,8,3
sp1695684,1,1
sp1695685,2,2
sp1695686,,
sp1695687,1,2
sp1695688,9,9
sp1695689,,
sp1695690,8,3
sp1695691,9,9
sp1695692,,
sp1695693,8,3
sp1695694,2,1
sp1695695,,
sp1695696,9,9
sp1695697,3,1
sp1695698,,
sp1695699,,
sp1695700,,
sp1695701,,
sp1695702,,
sp1695703,,
sp1695704,2,2
sp1695705,,
sp1695706,,
sp1695707,8,3
sp1695708,,
sp1695709,8,3
sp1695710,,
sp1695711,8,3
sp1695712,,
sp1695713,8,3
sp1695714,1,1
sp1695715,8,3
sp1695716,8,3
sp1695717,,
sp1695718,8,3
sp1695719,8,3
sp1695720,,
sp1695721,,
sp1695722,2,1
sp1695723,3,1
sp1695724,,
sp1695725,,
sp1695726,8,3
sp1695727,8,3
sp1695728,8,3
sp1695729,9,9
sp1695730,8,3
sp1695731,8,3
sp1695732,9,9
sp1695733,2,2
sp1695734,8,3
sp1695735,,
sp1695736,2,1
sp1695737,1,1
sp1695738,8,3
sp1695739,,
sp1695740,,
sp1695741,,
sp1695742,2,2
sp1695743,8,3
sp1695744,8,3
sp1695745,8,3
sp1695746,9,9
sp1695747,4,2
sp1695748,8,3
sp1695749,8,3
sp1695750,,
sp1695751,,
sp1695752,8,3
sp1695753,8,3
sp1695754,9,9
sp1695755,1,1
sp1695756,,
sp1695757,8,3
sp1695758,8,3
sp1695759,,
sp1695760,,
sp1695761,,
sp1695762,8,3
sp1695763,9,9
sp1695764,1,1
sp1695765,8,3
sp1695766,8,1
sp1695767,,
sp1695768,,
sp1695769,1,1
sp1695770,,
sp1695771,8,3
sp1695772,,
sp1695773,,
sp1695774,8,3
sp1695775,,
sp1695776,8,3
sp1695777,,
sp1695778,8,3
sp1695779,8,3
sp1695780,,
