id,sa_fire_origin,sa_alarm_failure,sa_alarm_type,sa_impact_evacuation
sa1695346,2,98,2,9
sa1695347,,,,
sa1695348,1,4,9,7
sa1695349,2,98,4,1
sa1695350,,,,
sa1695351,,,,
sa1695352,,,,
sa1695353,,,,
sa1695354,,,,
sa1695355,2,98,1,2
sa1695356,9,98,8,7
sa1695357,,,,
sa1695358,1,7,1,7
sa1695359,,,,
sa1695360,,,,
sa1695361,,,,
sa1695362,,,,
sa1695363,,,,
sa1695364,2,98,2,1
sa1695365,2,98,4,9
sa1695366,,,,
sa1695367,2,98,4,9
sa1695368,,,,
sa1695369,1,99,8,8
sa1695370,1,98,8,7
sa1695371,,,,
sa1695372,,,,
sa1695373,2,98,4,3
sa1695374,,,,
sa1695375,2,98,4,1
sa1695376,,,,
sa1695377,,,,
sa1695378,,,,
sa1695379,9,98,9,8
sa1695380,,,,
sa1695381,2,98,9,7
sa1695382,,,,
sa1695383,,,,
sa1695384,,,,
sa1695385,9,98,8,8
sa1695386,,,,
sa1695387,3,4,1,7
sa1695388,,,,
sa1695389,,,,
sa1695390,3,99,1,7
sa1695391,,,,
sa1695392,2,98,9,9
sa1695393,,,,
sa1695394,,,,
sa1695395,,,,
sa1695396,,,,
sa1695397,9,98,8,8
sa1695398,2,98,2,1
sa1695399,,,,
sa1695400,,,,
sa1695401,,,,
sa1695402,2,98,2,2
sa1695403,2,98,2,1
sa1695404,2,98,1,2
sa1695405,2,98,9,1
sa1695406,,,,
sa1695407,,,,
sa1695408,1,9,8,8
sa1695409,,,,
sa1695410,2,98,2,3
sa1695411,2,98,2,1
